provinsi,hls_2020,hls_2021,hls_2022
aceh,14.31,14.36,14.37
sumatera utara,13.23,13.27,13.31
sumatera barat,14.02,14.09,14.1
riau,13.2,13.28,13.29
jambi,12.98,13.04,13.05
sumatera selatan,12.45,12.54,12.55
bengkulu,13.61,13.67,13.68
lampung,12.65,12.73,12.74
kep. bangka belitung,12.05,12.17,12.18
kepulauan riau,12.87,12.98,12.99
dki jakarta,12.98,13.07,13.08
jawa barat,12.5,12.61,12.62
jawa tengah,12.7,12.77,12.81
d i yogyakarta,15.59,15.64,15.65
jawa timur,13.19,13.36,13.37
banten,12.89,13.02,13.05
bali,13.33,13.4,13.48
nusa tenggara barat,13.7,13.9,13.96
nusa tenggara timur,13.18,13.2,13.21
kalimantan barat,12.6,12.65,12.66
kalimantan tengah,12.66,12.74,12.75
kalimantan selatan,12.68,12.81,12.82
kalimantan timur,13.72,13.81,13.84
kalimantan utara,12.93,12.94,13.06
sulawesi utara,12.85,12.94,12.95
sulawesi tengah,13.17,13.23,13.32
sulawesi selatan,13.45,13.52,13.53
sulawesi tenggara,13.65,13.68,13.69
gorontalo,13.08,13.11,13.12
sulawesi barat,12.77,12.86,12.87
maluku,13.96,13.97,14
maluku utara,13.67,13.68,13.73
papua barat,12.91,13.13,13.21
papua,11.08,11.11,11.14
