daerah,3-6 tahun,7-12 tahun,13-15 tahun,16-18 tahun,tahun
sabang,2.625,5.24,2.202,1.882,2020
langsa,5.187,20.123,10.412,11.537,2020
subulussalam,7.345,13.387,6.213,6.593,2020
lhokseumawe,9.158,22.429,13.298,12.162,2020
pidie jaya,12.377,18.454,9.75,7.398,2020
bener meriah,12.531,20.928,8.088,6.214,2020
nagan raya,12.701,18.48,7.875,6.516,2020
simeulue,13.99,10.358,5.677,6.116,2020
aceh jaya,14.635,11.956,5.264,4.114,2020
gayo lues,15.03,12.557,5.23,3.693,2020
aceh barat daya,15.649,15.827,7.164,7.136,2020
banda aceh,15.771,33.118,15.731,16.596,2020
aceh tengah,19.906,26.58,10.48,10.179,2020
aceh tenggara,20.227,30.487,14.324,13.754,2020
bireuen,20.557,51.025,26.036,24.701,2020
aceh barat,22.512,22.095,11.937,11.089,2020
aceh singkil,25.494,18.034,7.263,7.174,2020
aceh tamiang,26.052,36.771,17.248,15.859,2020
aceh selatan,26.111,24.337,12.265,12.396,2020
aceh besar,27.624,45.098,23.621,17.197,2020
aceh timur,38.884,57.041,23.694,23.285,2020
pidie,39.802,47.793,21.639,20.319,2020
aceh utara,48.632,72.682,37.589,39.79,2020
aceh besar,27.587,45.275,23.8,17.294,2021
pidie,39.749,47.658,21.803,20.433,2021
aceh utara,48.568,73.492,39.375,40.012,2021
aceh timur,38.832,56.88,23.874,23.415,2021
aceh tengah,19.88,25.996,10.559,10.236,2021
aceh barat,22.482,22.236,11.028,11.151,2021
aceh selatan,26.076,24.268,12.658,12.465,2021
aceh tenggara,20.2,29.893,14.133,13.831,2021
simeulue,13.971,10.43,5.12,6.15,2021
bireuen,20.53,51.389,26.533,24.839,2021
aceh singkil,25.46,17.983,7.518,7.214,2021
aceh tamiang,26.017,36.159,17.379,15.948,2021
nagan raya,12.684,18.427,7.935,6.552,2021
aceh jaya,14.616,11.921,5.304,4.137,2021
aceh barat daya,15.628,15.781,7.219,7.176,2021
gayo lues,15.01,12.522,4.97,3.714,2021
bener meriah,12.514,20.869,8.15,6.249,2021
pidie jaya,12.361,18.402,10.124,7.439,2021
sabang,2.622,5.225,2.219,1.893,2021
banda aceh,15.75,33.43,15.85,16.689,2021
lhokseumawe,9.146,21.857,12.799,12.23,2021
langsa,5.18,19.558,10.491,11.601,2021
subulussalam,7.337,13.349,6.459,6.632,2021
