daerah,hls_2020,hls_2021,hls_2022
simeulue,13.76,13.9,14.08
aceh singkil,14.31,14.32,14.34
aceh selatan,14.42,14.6,14.69
aceh tenggara,14.0,14.01,14.26
aceh timur,13.03,13.04,13.06
aceh tengah,14.27,14.28,14.61
aceh barat,14.6,14.61,14.63
aceh besar,14.72,14.73,14.75
pidie,14.46,14.47,14.49
bireuen,14.83,14.84,14.86
aceh utara,14.7,14.71,14.73
aceh barat daya,13.58,13.65,13.66
gayo lues,13.77,13.78,14.08
aceh tamiang,13.59,13.76,13.96
nagan raya,14.13,14.14,14.16
aceh jaya,13.98,13.99,14.01
bener meriah,13.46,13.47,13.71
pidie jaya,13.82,14.97,14.98
banda aceh,17.79,17.8,17.81
sabang,13.95,14.13,14.4
langsa,15.35,15.63,15.64
lhokseumawe,15.2,15.21,15.27
subulussalam,14.61,14.62,14.81
