daerah,tahun,jumlah_slb,jumlah_sma,jumlah_smk
aceh barat,2020,3,21,11
aceh barat,2021,2,22,11
aceh barat,2022,2,22,11
aceh barat daya,2020,3,15,5
aceh barat daya,2021,1,15,5
aceh barat daya,2022,1,15,5
aceh besar,2020,4,45,11
aceh besar,2021,2,48,11
aceh besar,2022,2,48,11
aceh jaya,2020,1,14,7
aceh jaya,2021,1,14,7
aceh jaya,2022,1,14,7
aceh selatan,2020,1,33,11
aceh selatan,2021,2,33,12
aceh selatan,2022,2,33,12
aceh singkil,2020,1,14,9
aceh singkil,2021,1,15,9
aceh singkil,2022,1,14,9
aceh tamiang,2020,1,27,10
aceh tamiang,2021,1,27,10
aceh tamiang,2022,1,27,10
aceh tengah,2020,9,19,6
aceh tengah,2021,8,20,6
aceh tengah,2022,8,20,6
aceh tenggara,2020,2,29,16
aceh tenggara,2021,2,29,17
aceh tenggara,2022,2,28,17
aceh timur,2020,3,31,17
aceh timur,2021,2,31,17
aceh timur,2022,2,31,17
aceh utara,2020,5,54,27
aceh utara,2021,5,54,27
aceh utara,2022,5,53,28
banda aceh,2020,8,29,9
banda aceh,2021,7,29,9
banda aceh,2022,7,29,10
bener meriah,2020,6,23,6
bener meriah,2021,5,23,6
bener meriah,2022,5,22,6
bireuen,2020,6,36,12
bireuen,2021,6,37,12
bireuen,2022,6,37,12
gayo lues,2020,4,15,2
gayo lues,2021,4,16,2
gayo lues,2022,4,16,2
langsa,2020,5,10,10
langsa,2021,5,10,10
langsa,2022,4,9,9
lhokseumawe,2020,3,12,13
lhokseumawe,2021,3,12,13
lhokseumawe,2022,3,13,12
nagan raya,2020,1,17,5
nagan raya,2021,1,18,5
nagan raya,2022,1,19,5
pidie,2020,2,31,14
pidie,2021,2,31,14
pidie,2022,2,32,13
pidie jaya,2020,2,14,7
pidie jaya,2021,2,14,7
pidie jaya,2022,2,14,7
sabang,2020,2,3,1
sabang,2021,2,3,1
sabang,2022,2,3,1
simeulue,2020,1,26,8
simeulue,2021,1,26,8
simeulue,2022,1,26,8
subulussalam,2020,1,14,5
subulussalam,2021,1,14,6
subulussalam,2022,1,14,6
