daerah,tahun,rasio_peserta_slb,rasio_peserta_sma,rasio_peserta_smk
aceh barat,2020,97.33,453.29,495.27
aceh barat,2021,165.5,430.73,513.36
aceh barat,2022,161.0,425.82,517.0
aceh barat daya,2020,75.0,603.53,416.6
aceh barat daya,2021,233.0,336.13,229.6
aceh barat daya,2022,230.0,329.33,223.8
aceh besar,2020,88.5,378.58,581.91
aceh besar,2021,188.0,369.88,580.27
aceh besar,2022,176.0,358.27,582.18
aceh jaya,2020,105.0,203.64,254.0
aceh jaya,2021,129.0,346.07,258.43
aceh jaya,2022,128.0,336.86,256.14
aceh selatan,2020,83.0,403.27,266.64
aceh selatan,2021,45.0,394.18,244.08
aceh selatan,2022,41.0,388.82,241.58
aceh singkil,2020,87.0,523.43,220.11
aceh singkil,2021,89.0,472.47,214.44
aceh singkil,2022,93.0,284.86,224.67
aceh tamiang,2020,576.0,362.04,66.0
aceh tamiang,2021,577.0,366.52,385.0
aceh tamiang,2022,559.0,666.96,386.8
aceh tengah,2020,86.22,459.84,768.33
aceh tengah,2021,95.0,434.55,756.17
aceh tengah,2022,96.12,419.3,764.17
aceh tenggara,2020,60.0,457.72,175.44
aceh tenggara,2021,66.0,454.14,157.76
aceh tenggara,2022,65.0,254.29,283.12
aceh timur,2020,117.33,287.68,240.35
aceh timur,2021,189.0,278.48,229.41
aceh timur,2022,184.0,500.32,419.24
aceh utara,2020,112.8,281.8,190.0
aceh utara,2021,114.6,510.96,357.56
aceh utara,2022,108.4,511.77,351.89
banda aceh,2020,157.62,698.48,1066.89
banda aceh,2021,181.14,709.21,1104.33
banda aceh,2022,185.0,674.79,514.0
bener meriah,2020,77.17,296.35,432.83
bener meriah,2021,90.8,294.57,440.0
bener meriah,2022,89.6,290.32,454.17
bireuen,2020,118.33,558.25,651.58
bireuen,2021,122.5,294.54,659.83
bireuen,2022,141.33,300.27,345.83
gayo lues,2020,50.0,361.87,286.5
gayo lues,2021,49.25,336.56,298.0
gayo lues,2022,51.25,173.19,318.5
langsa,2020,129.0,793.2,716.8
langsa,2021,132.6,471.4,694.8
langsa,2022,164.5,501.11,435.22
lhokseumawe,2020,157.67,643.67,690.23
lhokseumawe,2021,162.33,629.5,681.46
lhokseumawe,2022,163.33,561.54,735.33
nagan raya,2020,190.0,488.0,318.8
nagan raya,2021,192.0,458.89,318.6
nagan raya,2022,194.0,419.63,325.2
pidie,2020,281.5,632.42,496.79
pidie,2021,280.0,637.87,491.29
pidie,2022,282.5,323.25,519.54
pidie jaya,2020,163.0,290.36,172.29
pidie jaya,2021,167.0,513.21,189.14
pidie jaya,2022,159.0,504.36,349.57
sabang,2020,53.0,789.67,702.0
sabang,2021,55.0,410.0,752.0
sabang,2022,54.5,8.0,728.0
simeulue,2020,73.0,291.0,234.75
simeulue,2021,86.0,298.73,229.88
simeulue,2022,181.0,295.0,245.25
subulussalam,2020,31.0,436.0,567.8
subulussalam,2021,47.0,426.86,464.0
subulussalam,2022,40.0,427.07,481.0
